VIRCat	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
vir_0450	7	35	2.94443897916644	2.19722457733622	11	3	5	3	3	7	9	7	5	7	5	1	1	61	25	3.11794990627824	3.26956893918372	4.33073334028633	4.56434819146784	2.76000994003292	7	19	8	3	10	4.97673374242057
vir_0687	7	36	2.94443897916644	2.19722457733622	9	3	5	3	5	7	7	7	5	7	5	1	2	60	20	3.15700042115011	3.36384159511839	4.45434729625351	4.84418708645859	2.86789890204411	7	20	8	3	10	5.22035582507833
vir_0688	7	36	2.94443897916644	1.79175946922806	17	3	5	3	5	7	7	7	5	7	5	1	2	58	20	2.84490938381941	3.03974915897077	3.95124371858143	4.26267987704132	2.50959926237837	7	20	9	3	10	5.13579843705026
vir_0689	7	40	2.70805020110221	2.07944154167984	13	3	5	3	5	7	9	5	5	7	5	1	2	60	27	3.16547504814109	2.80940269536250	3.89182029811063	4.04305126783455	2.40694510831829	7	22	10	3	10	5.27299955856375
vir_0690	7	34	2.99573227355399	2.07944154167984	11	3	5	3	5	7	5	9	3	7	7	1	2	51	25	1.87180217690159	2.61739583283408	3.63758615972639	3.66356164612965	1.90210752639692	7	18	9	3	10	5.01063529409626
vir_0692	7	35	3.04452243772342	1.79175946922806	19	3	5	3	5	7	5	9	5	7	7	2	2	55	20	2.39789527279837	3.30688670219091	4.38202663467388	4.55387689160054	2.46809953147162	7	17	9	3	14	4.82831373730230
vir_0693	7	36	2.99573227355399	1.79175946922806	19	3	7	3	3	7	5	9	3	7	7	1	2	56	20	2.67414864942653	2.72785282839839	3.98898404656427	4.34380542185368	2.41591377830105	7	19	8	3	10	4.90527477843843
vir_0694	7	33	3.09104245335832	1.94591014905531	18	3	5	3	3	7	5	7	3	7	5	1	2	53	20	2.34180580614733	2.42480272571830	3.78418963391826	4.14313472639153	2.07944154167984	7	19	8	3	10	4.90527477843843
vir_0695	7	40	2.70805020110221	1.94591014905531	18	3	7	3	5	7	5	7	3	7	5	1	2	73	30	2.96527306606928	2.51769647261099	3.40119738166216	3.76120011569356	1.88706964903238	7	25	11	3	10	5.16478597392351
vir_0726	8	36	2.89037175789616	2.19722457733622	11	3	7	3	5	7	5	9	5	7	7	1	2	51	17	2.06686275947298	3.41114771251532	4.18965474202643	4.87519732320115	3.02529107579554	7	20	9	3	14	5.10594547390058
