VIRCat	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
vir_0450	7	35	19	25	11	3	5	3	3	7	9	7	5	7	5	1	1	61.0	25.0	22.6	26.3	76	96.0	15.8	7	19	8	3	10	145
vir_0687	7	36	19	25	9	3	5	3	5	7	7	7	5	5	5	1	2	60.0	20.0	23.5	28.9	86	127.0	17.6	7	20	8	3	10	185
vir_0688	7	36	19	28	17	3	5	3	5	7	7	7	5	5	5	1	2	58.0	20.0	17.2	20.9	52	71.0	12.3	7	20	9	3	10	170
vir_0689	7	40	15	26	13	3	5	3	5	7	9	5	5	5	5	1	2	60.0	27.0	23.7	16.6	49	57.0	11.1	7	22	10	3	11	195
vir_0690	7	34	20	26	11	3	5	3	5	7	5	9	3	7	7	1	2	51.0	25.0	6.5	13.7	38	39.0	6.7	7	18	9	3	10	150
vir_0692	7	35	21	28	19	3	5	3	5	7	5	9	5	7	7	2	2	55.0	20.0	11.0	27.3	80	95.0	11.8	7	17	9	3	14	125
vir_0693	7	36	20	28	19	3	7	3	3	7	5	9	3	7	7	1	2	56.0	20.0	14.5	15.3	54	77.0	11.2	7	19	8	3	10	135
vir_0694	7	33	22	27	18	3	5	3	3	7	5	7	3	5	5	1	2	53.0	20.0	10.4	11.3	44	63.0	8.0	7	19	8	3	10	135
vir_0695	7	40	15	27	18	3	7	3	5	7	5	7	3	5	5	1	2	73.0	30.0	19.4	12.4	30	43.0	6.6	7	25	11	3	10	175
vir_0726	8	36	18	25	11	3	7	3	5	7	5	9	5	7	7	1	2	51.0	17.0	7.9	30.3	66	131.0	20.6	7	20	9	3	14	165
vir_0727	7	36	18	30	19	3	7	3	5	7	5	9	5	7	7	1	2	55.0	19.0	10.6	14.6	54	68.0	9.3	7	18	8	3	11	190
