	ID	SeqID	Batch	Country	Biological_status	Agrobotanical_type	PlantHeight_y2019	TechnicalLenght_y2019	InflorescenceLenght_y2019	TechnicalPartWeight_y2019	BoxesNumber_y2019	SeedNumber_y2019	AverageDiameter_y2019	NumberOfInternodes_y2019	DistanceBetweenInternodes_y2019	ElementalFiberAvLenght_y2019	Taperingness_y2019	Slenderness_y2019	FiberWeight_y2019	FiberContent_y2019	WeightOf1000Seeds_y2019	OilContent_y2019	FusoriumPerc_y2019	PlantHeight_y2020_1	TechnicalLenght_y2020_1	InflorescenceLenght_y2020_1	TechnicalPartWeight_y2020_1	BoxesNumber_y2020_1	SeedNumber_y2020_1	AverageDiameter_y2020_1	NumberOfInternodes_y2020_1	DistanceBetweenInternodes_y2020_1	ElementalFiberAvLenght_y2020_1	Taperingness_y2020_1	Slenderness_y2020_1	FiberWeight_y2020_1	FiberContent_y2020_1	WeightOf1000Seeds_y2020_1	OilContent_y2020_1	FusoriumPerc_y2020_1	PlantHeight_y2020_2	TechnicalLenght_y2020_2	InflorescenceLenght_y2020_2	TechnicalPartWeight_y2020_2	BoxesNumber_y2020_2	SeedNumber_y2020_2	AverageDiameter_y2020_2	NumberOfInternodes_y2020_2	DistanceBetweenInternodes_y2020_2	ElementalFiberAvLenght_y2020_2	Taperingness_y2020_2	Slenderness_y2020_2	FiberWeight_y2020_2	FiberContent_y2020_2
L13	ByRod5064	L13	Big	Belarus	breeding_line	fiber_flax	84.2	70.2	14	393.6	4.4	32.25	1.21	65.8	10.68	15.02	533.5	0.59	89.6	22.24	4.28	38	0	86.67	71	15.67	523.33	4.17	29	1.31	73.83	9.62	14.48	526.92	0.49	142.67	27.75	4.8	36.7	0	90.33	75.67	14.67	502.33	5.5	32.67	1.36	70.83	10.69	15.72	611.94	0.69	111.67	22.89
L18	RuKva7504	L18	Big	Russia	elite_cultivar	fiber_flax	79.3	66.8	12.3	462	4.3	31.5	1.4	82.3	8.1	13.1	448.8	0.6	133.3	28.5	4.91	39.1	100	81.83	68.33	13.5	421.33	3.67	38.25	1.23	72.83	9.38	13.97	527.1	0.46	156.33	37.37	4.8	41.4	83.3	81	68.8	12.2	406.8	3.2	24.8	1.21	61.8	11.2	15.25	561.05	0.64	148	36.71
L19	RuPer7505	L19	Big	Russia	elite_cultivar	fiber_flax	89.9	74.7	15.2	680	6.4	46.9	1.5	90.1	8.5	14.3	461.1	0.5	206.1	30.1	4.68	39.12	0	82.6	70.6	12	404.8	3.6	32.5	1.15	74.2	9.51	14.2	557.83	0.4	156.4	38.6	4.6	40.55	11.1	87.75	74	13.75	512	3.75	27	1.31	68	10.89	15.64	529.6	0.63	185.5	36.23
L20	RuDob7194	L20	Big	Russia	elite_cultivar	fiber_flax	94.3	77.3	17.7	798	7.8	64.5	1.7	82.8	9.4	15.3	463.9	0.4	219.3	27.5	4.93	38.75	0	81.2	68.4	12.8	365.6	3.2	31.5	1.12	72.6	9.42	13.89	598.21	0.51	134	37.45	5.2	39.15	0	81.75	69.75	12	281.5	2.5	17.75	0.91	63.75	10.96	14.86	830.18	0.46	98	34.89
L21	RuVos7281	L21	Big	Russia	elite_cultivar	fiber_flax	92.8	77.1	15.8	599	5.4	33.3	1.5	82.4	9.6	15.2	489.9	0.6	137.9	22.9	4.61	40.21	NA	83.4	65.2	18.2	384.2	5.4	42.5	1.23	66.2	9.87	14	497.67	0.26	123.2	32.04	4.8	39.45	NA	87.5	73.5	14	403	3.5	25.67	1.16	68	10.82	15.39	674.89	0.66	131.67	32.99
L22	RuAnt6641	L22	Big	Russia	elite_cultivar	fiber_flax	86.3	76.3	10.3	471	2.7	18.3	1.1	67.3	11.3	16	573.2	0.3	139.3	29.4	4.82	39.3	71.4	80.17	68.67	11.5	356.67	3.83	37.25	1.08	68.5	10.03	14.3	611.51	0.51	123	34.34	5.2	39.7	27.8	85.2	72.6	12.6	370.4	3.8	24.8	1.11	67	10.84	15.27	685.85	0.6	102	28.16
L23	RuKro5252	L23	Big	Russia	elite_cultivar	fiber_flax	88.6	70.6	18	666	7.2	51	1.6	76.2	9.4	14.5	431.9	0.4	173.2	25.9	4.58	38.54	62.5	84.33	67.5	16.83	420	5.33	59.5	1.26	58.17	11.62	15.47	493.38	0.47	112.33	27.22	4.8	39.35	44.4	82.33	70.33	12	322	2.67	20.33	0.97	65.67	10.71	14.81	814.59	0.75	98	30.45
L25	RuPsk5548	L25	Big	Russia	elite_cultivar	fiber_flax	84.8	63.3	16.8	504	5	30.3	1.4	70.5	8.9	13.4	406.2	0.5	137	26.8	4.08	38.21	62.5	79.4	65.8	13.6	372	3	23	1.18	60.6	10.84	14.69	517.72	0.53	107.6	29.3	5	37.05	25	84	72.33	11.67	403.67	4	26.83	1.22	67	10.83	15.35	585.48	0.49	136	33.72
L27	RuTos6646	L27	Big	Russia	elite_cultivar	fiber_flax	100.7	82.3	18.7	832	8.3	54.7	1.7	91	9.2	15.7	464.8	0.9	223.3	26.9	4.98	38.91	50	79	63.67	15.33	373	4.67	54.25	1.21	63	10.12	14.02	503.87	0.31	114.33	31.02	4.8	40.51	44.4	89	76.17	12.83	417.67	3.17	24	1.13	68.17	11.23	15.9	731.55	0.57	134.33	32.47
L28	RuPam7063	L28	Big	Russia	elite_cultivar	fiber_flax	94.6	79	14.8	698	4.6	28	1.5	73.6	10.9	16.3	498.2	0.7	169.8	24.3	4.85	38.92	75	82	67.2	14.8	320.2	3.8	37	1.06	66.8	10.09	14.17	599.19	0.4	98.4	30.5	4.6	40.3	50	87.17	73.17	14	392	4.17	26.5	1.14	67	10.95	15.43	609.31	0.67	104	26.26
