	LeafShape	FlowCol	FluffCol	FlowGroup	Height	GrowthType	Polegaemost	GermBMatur	MaturType	PodShat	Yield	Protein	Oil	Productivity	ilr1	ilr2
V_1	1	0	0	5	92.5	0	1	123	5	NA	NA	39.8	16.5	96	0.622612139220571	-0.435792358041587
V_2	1	1	0	5	155	0	1	143	6	NA	NA	NA	NA	NA	NA	NA
V_3	1	1	0	5	112.5	0	0	137	5	NA	NA	42.1	18.3	84	0.589123667745707	-0.290145912257477
V_4	1	1	0	4	77.5	0.5	0	108	3	NA	NA	43.5	17.9	109	0.627882696696744	-0.264929830350249
V_5	1	0	0	5	82.5	0.5	0	132	5	NA	NA	40.8	19.4	113	0.525669555942717	-0.283233958886921
V_6	1	1	2	2	77.5	0	0	100	3	NA	NA	42.4	20	116	0.531331411801073	-0.208666913795294
V_7	1	1	2	4	102.5	0	1	128	5	NA	NA	41.1	15.6	46	0.685000648431858	-0.438061125759198
V_8	1	1	3	5	102.5	0	1	131	5	NA	NA	43.1	17.9	53	0.621350485982095	-0.277118769042735
V_9	1	1	2	5	155	0	1	143	6	NA	NA	NA	NA	NA	NA	NA
V_10	1	1	0	5	122.5	0.5	0	133	5	NA	NA	44.7	18.1	51	0.6392680620533	-0.21911995518587
V_11	1	1	0	5	105	0	1	143	6	NA	NA	NA	NA	NA	NA	NA
V_12	1	0	2	3	42.5	1	0	92	2	NA	NA	40.7	15.1	36	0.701119954587231	-0.472150065255549
V_13	1	1	2	5	97.5	0.5	0.5	133	5	NA	NA	43.1	18.4	49	0.601869728265417	-0.255335962400148
V_14	1	1	0	4.5	92.5	0	0	118	4	NA	NA	42.6	20.2	113	0.527623032843827	-0.193950869267947
V_15	1	1	0	4.5	82.5	0	0.5	113	4	NA	NA	42.4	19.5	124	0.549233805511543	-0.229788974669538
V_16	1	0	0	5	115	0.5	0	143	6	NA	NA	NA	NA	NA	NA	NA
V_17	1	1	0	5	85	1	0.5	143	6	NA	NA	NA	NA	NA	NA	NA
V_19	1	1	2	5	107.5	0.5	0	131	5	NA	NA	42.7	16.7	46	0.663824917105553	-0.342082875026048
V_20	1	1	0	4	57.5	1	0	95	2	NA	NA	39.8	18.3	129	0.549397823012843	-0.359178349005356
V_21	1	1	2	3	52.5	0.5	0	102	3	NA	NA	41.1	21.3	143	0.464782028878183	-0.195670509740344
V_22	1	1	2	4	62.5	1	0	121	5	NA	NA	39.7	21.9	118	0.420632757808154	-0.215668220790963
V_23	1	0	0	4.5	87.5	0.5	0	118	4	NA	NA	40.8	20.4	124	0.490129071734273	-0.241937535253695
V_24	1	1	0	5	82.5	0.5	0	136	5	NA	NA	41	20.8	89	0.47985615330848	-0.219288927171892
V_25	1	1	1	3	47.5	1	0	108	3	NA	NA	44.3	19.1	140	0.59488634841458	-0.18755884570023
V_26	1	0	2	1	32.5	1	0	85	1	NA	NA	45.5	17.2	82	0.687875557143649	-0.234891754586194
V_27	1	0	0	5	92.5	1	0	143	6	NA	NA	NA	NA	NA	NA	NA
V_28	1	1	0	5	145	0.5	0	143	6	NA	NA	NA	NA	NA	NA	NA
V_29	1	1	0	3	47.5	1	0	96	2	NA	NA	42.9	17.4	86	0.638094304653131	-0.305108582484882
V_30	1	1	0	5	77.5	1	0	143	6	NA	NA	NA	NA	NA	NA	NA
V_31	2	0	0	4.5	145	1	0	143	6	NA	NA	NA	NA	NA	NA	NA
V_32	1	0	2	5	105	1	0	143	6	NA	NA	NA	NA	NA	NA	NA
V_33	1	1	0	5	72.5	1	0	135	5	NA	NA	39.6	17.5	94	0.577443364325143	-0.398741678978524
V_34	1	0	0	3	77.5	0.5	0	118	4	NA	NA	36.7	23.8	127	0.306241706278332	-0.236840758278509
V_35	1	1	2	1	62.5	0.5	0	86	1	NA	NA	42.5	21.3	123	0.488467245396666	-0.15101393672194
V_36	2	1	0	1	47.5	1	0	94	2	NA	NA	44.2	19.9	144	0.564274787475611	-0.155963123054475
V_37	1	1	2	3	62.5	1	0	99	2	NA	NA	42	21.3	158	0.480099020142805	-0.167045736904121
V_39	1	1	2	3	67.5	0.5	0	102	3	NA	NA	42.2	20.5	116	0.510527797291148	-0.193975723929074
V_40	1	1	2	2	52.5	1	0	99	2	NA	NA	42.2	20	125	0.527988111099012	-0.214928726362798
V_41	1	1	2	1	27.5	1	0	85	1	NA	NA	41.5	21.3	81	0.471630574240886	-0.182983833235771
V_42	1	1	2	2	52.5	1	0	102	3	NA	NA	45.4	17.5	144	0.674092831154969	-0.224340989738388
V_43	1	1	2	3	102.5	0.5	0	114	4	NA	NA	40.1	21.9	129	0.427721606965107	-0.203025691282436
V_44	1	1	2	3	32.5	1	0	92	2	NA	NA	40	22.3	76	0.413157383858914	-0.190184122101529
V_45	1	1	2	2	42.5	1	0	85	1	NA	NA	41.8	18.8	101	0.5650062274569	-0.277926627472888
V_46	1	1	2	3	77.5	0	0.5	106	3	NA	NA	42.6	21.3	115	0.490129071734273	-0.147795844319651
V_47	1	1	0	4	77.5	0.5	0	104	3	NA	NA	41.4	20.9	113	0.483329915683679	-0.202609604946538
V_48	1	0	0	3	82.5	0	0	102	3	NA	NA	38.9	22.2	122	0.396617580731551	-0.2289872670007
V_49	1	1	2	3	72.5	0.5	0	109	3	NA	NA	41.6	20.9	138	0.486737665803019	-0.196299062337943
V_50	1	1	0	4	95	0.5	0	118	4	NA	NA	42.3	20.6	119	0.508760507889176	-0.18663306459066
V_51	1	1	0	4	72.5	0	0	123	5	NA	NA	40	20.8	107	0.462395839500616	-0.250468920957605
V_52	1	1	0	4.5	77.5	1	0	118	4	NA	NA	42.5	20.4	148	0.518994580881106	-0.188690303279686
V_53	1	1	0	3	57.5	0	0	112	4	NA	NA	42.2	20.4	113	0.513985539052573	-0.198158121861464
V_54	1	1	2	5	122.5	0	1	143	6	NA	NA	NA	NA	NA	NA	NA
V_55	1	1	2	3	72.5	1	0	114	4	NA	NA	41.2	20.1	117	0.507503576819116	-0.241895737835473
V_56	1	1	0	5	102.5	1	0	133	5	NA	NA	43.8	17.8	86	0.636703949135802	-0.260169550162241
V_57	1	1	2	2.5	32.5	1	0	85	1	NA	NA	41.7	21.8	71	0.45862320675341	-0.15603797635944
V_58	1	1	2	3	52.5	1	0	92	2	NA	NA	42.1	19	83	0.562580350443563	-0.260259012421777
V_59	1	1	2	3	82.5	0	0	111	4	NA	NA	40.5	21.3	129	0.454383212333799	-0.214600606491993
V_60	1	0	0	3	72.5	0.5	0	104	3	NA	NA	42.5	21.3	168	0.488467245396666	-0.15101393672194
V_61	1	0	0	3	62.5	0.5	0	99	2	NA	NA	38.8	23.2	140	0.363642367489394	-0.192938058035833
V_62	1	1	0	3.5	62.5	1	0	106	3	NA	NA	43.1	19.7	175	0.553596982942251	-0.199419446904699
V_63	1	1	2	5	52.5	1	0	109	3	NA	NA	41.2	20.5	148	0.493569987435158	-0.225368018584196
V_64	1	0	2	3.5	82.5	0.5	0.5	107	3	NA	NA	41.4	20.9	144	0.483329915683679	-0.202609604946538
V_65	1	1	2	4.5	72.5	1	0	111	4	NA	NA	40.3	20.4	128	0.481410012049407	-0.25742613121995
V_66	1	1	0	4.5	82.5	1	0	109	3	NA	NA	42.6	19.6	129	0.548944450607697	-0.219325019556468
V_67	1	1	0	5	115	0.5	0	111	4	NA	NA	42.4	18.5	115	0.586458546446063	-0.27243463322374
V_68	1	1	2	4	87.5	0.5	0	133	5	NA	NA	40.3	18.2	93	0.562100305088271	-0.348486371070906
V_69	1	0	0	5	105	1	0	143	6	NA	NA	NA	NA	NA	NA	NA
V_70	1	0	0	5	125	0.5	0	143	6	NA	NA	NA	NA	NA	NA	NA
V_71	1	1	0	5	102.5	0.5	0	118	4	NA	NA	41.1	21.4	141	0.46147004726731	-0.191583909998138
V_72	1	0	0	3.5	97.5	0.5	0	116	4	NA	NA	39.3	22	128	0.410250672849817	-0.224296602774781
V_73	1	0	0	5	117.5	0	0.5	127	5	NA	NA	40	19.8	94	0.497235732369486	-0.291151494525223
V_74	1	0	0	5	102.5	0	0	118	4	NA	NA	42.1	20.5	146	0.508850200344864	-0.197130354773245
V_75	1	1	2	3	87.5	0.5	1	109	3	NA	NA	42.1	20.6	117	0.50540928464398	-0.192957671371439
V_76	1	1	2	4.5	72.5	1	0	133	5	NA	NA	41.2	21.2	104	0.469827961176223	-0.196599583312024
V_77	1	0	0	3	57.5	0.5	1	89	2	NA	NA	41.8	18.6	96	0.572568938918104	-0.286427129706543
V_78	1	1	2	1.5	47.5	1	0	87	1	NA	NA	44.8	18	85	0.644765688708772	-0.220469437290842
V_79	1	0	2	3.5	37.5	1	0	94	2	NA	NA	43.4	19.8	88	0.554921494380939	-0.185693495097515
V_80	1	0	2	3.5	32.5	0.5	0	92	2	NA	NA	40.3	22	81	0.428018109640098	-0.192663091563209
V_81	1	0	2	5	42.5	1	0	100	3	NA	NA	41.6	19.3	93	0.543054522873941	-0.26292809459688
V_82	1	1	2	3	77.5	0.5	0	111	4	NA	NA	42.4	18.1	112	0.601915047779439	-0.289668917942991
V_83	1	1	2	2	62.5	0.5	0	108	3	NA	NA	41.8	19.4	143	0.542791622061191	-0.252571413895986
V_84	1	1	2	2	72.5	0.5	0	104	3	NA	NA	42.7	19.4	128	0.55785482133367	-0.224712203631229
V_85	1	1	2	3	77.5	0.5	0	107	3	NA	NA	42.1	19.6	131	0.540595985495273	-0.234874421149727
V_86	1	0	0	3	82.5	0	0	102	3	NA	NA	41.6	21.4	158	0.47002041482618	-0.175687502779438
V_87	1	1	0	3	67.5	1	0	97	2	NA	NA	42	20.4	138	0.510626355627245	-0.204452206070123
V_88	2	1	0	3	77.5	0.5	0	104	3	NA	NA	40.6	22.1	154	0.430055597164135	-0.179074429464542
V_89	1	1	2	3	67.5	1	0	104	3	NA	NA	42.8	20.1	137	0.534444236452119	-0.191866907366592
V_90	1	1	0	3	52.5	1	0	106	3	NA	NA	41.3	19	157	0.549014336630801	-0.284712723663197
V_91	1	1	2	3	57.5	1	0	104	3	NA	NA	43.7	19.1	119	0.585243833795598	-0.206402613807076
V_92	1	1	0	3	57.5	0.5	0	106	3	NA	NA	44	20.1	125	0.553996821766115	-0.153732075471894
V_93	2	0	0	3	52.5	1	0	106	3	NA	NA	41.2	20.2	159	0.503994354821697	-0.237757146726081
V_94	2	1	2	3	52.5	1	0	106	3	NA	NA	40.1	18.4	134	0.550854333761553	-0.346055686921434
V_95	2	1	0	3	52.5	1	0	104	3	NA	NA	41.9	20	154	0.522943332641434	-0.22429588260246
V_96	2	1	0	3	42.5	1	0	98	2	NA	NA	41.6	20.8	93	0.490129071734273	-0.200431517732901
V_97	1	1	2	3	57.5	0.5	0	106	3	NA	NA	41.4	20.2	96	0.507418607427266	-0.231538603343781
V_98	2	1	0	3	52.5	1	0	104	3	NA	NA	42.1	20.5	156	0.508850200344864	-0.197130354773245
V_99	1	0	2	2	37.5	1	0	86	1	NA	NA	42.2	22.4	92	0.447852629215474	-0.11510252745788
V_100	1	1	0	3	82.5	0.5	0	110	3	NA	NA	44.6	20.6	121	0.546199530100885	-0.11276219447462
V_101	1	0	0	3	62.5	1	0	95	2	NA	NA	41.8	20.9	153	0.490129071734273	-0.18997473092879
V_102	1	1	2	3	52.5	1	0	99	2	NA	NA	43.2	19.8	136	0.55165540644402	-0.192004638404205
