Sample	LeafShape	FlowCol	FluffCol	FlowGroup	Height	GrowthType	Polegaemost	GermBMatur	MaturType	PodShat	Yield	Protein	Oil	Productivity
V_1	1	0	0	5	92.5	0	1	123	5	nan	nan	39.8	16.5	96
V_2	1	1	0	5	155	0	1	143	6	nan	nan	nan	nan	nan
V_3	1	1	0	5	112.5	0	0	137	5	nan	nan	42.1	18.3	84
V_4	1	1	0	4	77.5	0.5	0	108	3	nan	nan	43.5	17.9	109
V_5	1	0	0	5	82.5	0.5	0	132	5	nan	nan	40.8	19.4	113
V_6	1	1	2	2	77.5	0	0	100	3	nan	nan	42.4	20	116
V_7	1	1	2	4	102.5	0	1	128	5	nan	nan	41.1	15.6	46
V_8	1	1	3	5	102.5	0	1	131	5	nan	nan	43.1	17.9	53
V_9	1	1	2	5	155	0	1	143	6	nan	nan	nan	nan	nan
V_10	1	1	0	5	122.5	0.5	0	133	5	nan	nan	44.7	18.1	51
V_11	1	1	0	5	105	0	1	143	6	nan	nan	nan	nan	nan
V_12	1	0	2	3	42.5	1	0	92	2	nan	nan	40.7	15.1	36
V_13	1	1	2	5	97.5	0.5	0.5	133	5	nan	nan	43.1	18.4	49
V_14	1	1	0	4.5	92.5	0	0	118	4	nan	nan	42.6	20.2	113
V_15	1	1	0	4.5	82.5	0	0.5	113	4	nan	nan	42.4	19.5	124
V_16	1	0	0	5	115	0.5	0	143	6	nan	nan	nan	nan	nan
V_17	1	1	0	5	85	1	0.5	143	6	nan	nan	nan	nan	nan
V_19	1	1	2	5	107.5	0.5	0	131	5	nan	nan	42.7	16.7	46
V_20	1	1	0	4	57.5	1	0	95	2	nan	nan	39.8	18.3	129
V_21	1	1	2	3	52.5	0.5	0	102	3	nan	nan	41.1	21.3	143
V_22	1	1	2	4	62.5	1	0	121	5	nan	nan	39.7	21.9	118
V_23	1	0	0	4.5	87.5	0.5	0	118	4	nan	nan	40.8	20.4	124
V_24	1	1	0	5	82.5	0.5	0	136	5	nan	nan	41	20.8	89
V_25	1	1	1	3	47.5	1	0	108	3	nan	nan	44.3	19.1	140
V_26	1	0	2	1	32.5	1	0	85	1	nan	nan	45.5	17.2	82
V_27	1	0	0	5	92.5	1	0	143	6	nan	nan	nan	nan	nan
V_28	1	1	0	5	145	0.5	0	143	6	nan	nan	nan	nan	nan
V_29	1	1	0	3	47.5	1	0	96	2	nan	nan	42.9	17.4	86
V_30	1	1	0	5	77.5	1	0	143	6	nan	nan	nan	nan	nan
V_31	2	0	0	4.5	145	1	0	143	6	nan	nan	nan	nan	nan
V_32	1	0	2	5	105	1	0	143	6	nan	nan	nan	nan	nan
V_33	1	1	0	5	72.5	1	0	135	5	nan	nan	39.6	17.5	94
