	origin	hypocotyl_color_18_indiv	SeedToBloom_18_indiv	SeedToBegMat_18_indiv	SeedToFullMat_18_indiv	plant_height_18_indiv	habitus_18_indiv	pod_length_18_indiv	pod_per_plant_18_indiv	seeds_per_plant_18_indiv	mass_100_seeds_18_indiv	productivity_18_indiv	seed_mass_per_plot_18_indiv	yield_18_indiv	hypocotyl_color_18_aver	SeedToBloom_18_aver	SeedToBegMat_18_aver	SeedToFullMat_18_aver	plant_height_18_aver	habitus_18_aver	pod_length_18_aver	pod_per_plant_18_aver	seeds_per_plant_18_aver	mass_100_seeds_18_aver	productivity_18_aver	seed_mass_per_plot_18_aver	yield_18_aver	hypocotyl_color_20_aver	SeedToBloom_20_aver	SeedToBegMat_20_aver	SeedToFullMat_20_aver	plant_height_20_aver	habitusInFlow_20_aver	habitusInMatur_20_aver	pod_length_20_aver	pod_per_plant_20_aver	seeds_per_plant_20_aver	mass_100_seeds_20_aver	productivity_20_aver	seed_mass_per_plot_20_aver	plant_square_20_aver	plot_square_20_aver	yield_20_aver	Longitude	Latitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	altitude
acc1676943	USA	0	61	74	82	80	0.5	8	65	570	4.56	0.03	0.26	0.09	0	61	74	82	77.8	0.5	7.7	63.4	560	4.64	0.03	0.26	0.09	1	56	83	89	74.8	0.5	0.5	6.06	65	262	4.58	14.4	267	0.42	4.2	0.0063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acc1676945	China	1	47	65	78	85	0.5	7	66	498	4.41	0.02	0.22	0.08	1	47	65	78	85	0.5	7	66	498	4.41	0.02	0.22	0.08	1	48	68	77	92	0.5	0	6.2	129	994	4.82	50	316	0.42	4.2	0.075	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676946	China	1	50	66	75	85	1	8	154	1224	3.59	0.04	0.44	0.16	1	50	66	75	85	1	8	154	1224	3.59	0.04	0.44	0.16	1	48	68	81	45	0.5	0.5	6.6	241	1287	3.57	48	359	0.42	4.2	0.085	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676948	China	1	54	70	76	105	0.5	7	44	265	4.52	0.01	0.12	0.42	1	54	70	76	105	0.5	7	44	265	4.52	0.01	0.12	0.42	1	46	68	77	75	0.5	0.5	7.4	155	1280	5.07	67	324	0.42	4.2	0.077	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676949	China	1	47	65	75	75	1	6.5	49	377	4.24	0.02	0.16	0.06	1	47	65	75	75	1	6.5	49	377	4.24	0.02	0.16	0.06	1	46	68	77	58	0.5	0.5	6.5	76	542	4.42	26	395	0.42	4.2	0.094	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676950	China	1	47	65	75	85	1	6.5	70	500	4.6	0.02	0.23	0.08	1	47	65	75	85	1	6.5	70	500	4.6	0.02	0.23	0.08	1	49	67	77	62	1	1	5.8	117	853	3.98	36	427	0.42	4.2	0.1	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676951	China	0	60	73	80	75	1	7.5	110	968	3.61	0.04	0.35	0.13	0	60	73	80	75	1	7.5	110	968	3.61	0.04	0.35	0.13	1	48	66	74	72	1	1	5.9	114	686	4.08	30	359	0.42	4.2	0.085	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676952	China	1	55	70	78	80	0.5	8	42	315	4.44	0.01	0.14	0.05	1	55	70	78	80	0.5	8	42	315	4.44	0.01	0.14	0.05	1	48	68	81	78	0.5	0.5	6	62	423	3.51	19	99	0.42	4.2	0.023	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676953	China	1	72	100	115	120	0	7	25	234	3.41	0.01	0.08	0.03	1	72	100	115	120	0	7	25	234	3.41	0.01	0.08	0.03	1	77	100	110	95	0	0	7.2	39	202	3.96	10	97	0.42	4.2	0.023	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
acc1676954	China	1	74	100	115	140	0	7	89	840	3.69	0.03	0.31	0.11	1	74	100	115	140	0	7	89	840	3.69	0.03	0.31	0.11	1	72	100	110	76	0.5	0	6.2	53	233	3	9	117	0.42	4.2	0.027	128.7382	47.1216	6	130	23	15023	258	-298	556	186	-202	186	-202	652	166	5	100	416	19	416	19	386
